,directorate,department,expenditure_type,ref_doc_1,vendor_name,expenditure_amount,payment_date,year,month
540,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039843,SANCTUARY CARE LTD,2340.04,2014-02-10,2014,February
541,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039828,SGSL LTD,2707.6,2014-02-10,2014,February
542,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039771,THE EXTRA MILE CARE CO LTD,529.14,2014-02-10,2014,February
543,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039773,THE EXTRA MILE CARE CO LTD,537.08,2014-02-10,2014,February
544,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039774,THE EXTRA MILE CARE CO LTD,330.66,2014-02-10,2014,February
545,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039775,THE EXTRA MILE CARE CO LTD,589.96,2014-02-10,2014,February
546,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039776,THE EXTRA MILE CARE CO LTD,277.62,2014-02-10,2014,February
547,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039777,THE EXTRA MILE CARE CO LTD,388.92,2014-02-10,2014,February
548,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039778,THE EXTRA MILE CARE CO LTD,296.24,2014-02-10,2014,February
549,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039780,THE EXTRA MILE CARE CO LTD,555.24,2014-02-10,2014,February
550,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039782,THE EXTRA MILE CARE CO LTD,306.82,2014-02-10,2014,February
551,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039783,THE EXTRA MILE CARE CO LTD,359.7,2014-02-10,2014,February
552,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039784,THE EXTRA MILE CARE CO LTD,1074.16,2014-02-10,2014,February
553,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039785,THE EXTRA MILE CARE CO LTD,1907.48,2014-02-10,2014,February
554,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039787,THE EXTRA MILE CARE CO LTD,951.84,2014-02-10,2014,February
555,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039788,THE EXTRA MILE CARE CO LTD,1069.89,2014-02-10,2014,February
556,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039789,THE EXTRA MILE CARE CO LTD,915.0,2014-02-10,2014,February
557,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039790,THE EXTRA MILE CARE CO LTD,444.36,2014-02-10,2014,February
558,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039791,THE EXTRA MILE CARE CO LTD,965.12,2014-02-10,2014,February
559,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039792,THE EXTRA MILE CARE CO LTD,251.38,2014-02-10,2014,February
560,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039793,THE EXTRA MILE CARE CO LTD,767.34,2014-02-10,2014,February
561,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039856,THE NATIONAL SOCIETY FOR EPILEPSY,5407.9,2014-02-10,2014,February
562,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039857,THE NATIONAL SOCIETY FOR EPILEPSY,11425.0,2014-02-10,2014,February
563,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039831,THORNDENE LTD,3591.42,2014-02-10,2014,February
564,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039832,THORNDENE LTD,-531.21,2014-02-10,2014,February
565,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039861,WILLOW CARE HOMES,5066.0,2014-02-10,2014,February
566,Delivery Unit,Adults and Communities,Other Transfer Payments to Soc,EBX0025824,THE FREMANTLE TRUST,289.3,2014-02-10,2014,February
567,Delivery Unit,Adults and Communities,Training,10009213,PREMIER PEOPLE SOLUTIONS LTD,1120.0,2014-02-10,2014,February
568,Delivery Unit,Children's Service DSG,Other Establishments - Third Party Payments,10008829,ACORN NURSERY SCHOOL,1716.0,2014-02-10,2014,February
569,Delivery Unit,Children's Service DSG,Other Establishments - Third Party Payments,10008824,EAYC NURSERY,2724.15,2014-02-10,2014,February
570,Delivery Unit,Children's Service DSG,Other Services,20012029,BO-PEEP NURSERY,1232.0,2014-02-10,2014,February
571,Delivery Unit,Children's Service DSG,Other Services,20012025,DANESCROFT NURSERY,985.6,2014-02-10,2014,February
572,Delivery Unit,Children's Service DSG,Other Services,20012039,ESSEX PARK COMMUNITY PRE-SCHOOL,1293.6,2014-02-10,2014,February
573,Delivery Unit,Children's Service DSG,Other Services,20012036,KINGS KIDS DAY NURSERY,1848.0,2014-02-10,2014,February
574,Delivery Unit,Children's Service DSG,Other Services,20012040,KOOL KIDZ PLAYGROUP,1848.0,2014-02-10,2014,February
575,Delivery Unit,Children's Service DSG,Other Services,20012031,NORWOOD NURSERY,1724.8,2014-02-10,2014,February
576,Delivery Unit,Children's Service DSG,Other Services,20012042,PARKSIDE VIEW NURSERY LIMITED,1232.0,2014-02-10,2014,February
577,Delivery Unit,Children's Service DSG,Other Services,20012028,TINIES NURSERY,1848.0,2014-02-10,2014,February
578,Delivery Unit,Commercial,Equipment and Materials Purchase,10009358,COLAS LTD,2074.0,2014-02-10,2014,February
579,Delivery Unit,Commercial,Other Services,10009245,CONWAY AECOM LTD,733.7,2014-02-10,2014,February
580,Delivery Unit,Commercial,Other Services,10009758,CONWAY AECOM LTD,22625.0,2014-02-10,2014,February
581,Delivery Unit,Commercial,Other Services,10009759,CONWAY AECOM LTD,31000.0,2014-02-10,2014,February
582,Delivery Unit,Commercial,Other Services,10009767,CONWAY AECOM LTD,828.08,2014-02-10,2014,February
583,Delivery Unit,Commercial,Other Services,10009768,CONWAY AECOM LTD,368.56,2014-02-10,2014,February
584,Delivery Unit,Commercial,Other Services,10010081,CONWAY AECOM LTD,111596.69,2014-02-10,2014,February
585,Delivery Unit,Commercial,Other Services,10010084,CONWAY AECOM LTD,108543.05,2014-02-10,2014,February
586,Delivery Unit,Commercial,Other Services,10010085,CONWAY AECOM LTD,2665.47,2014-02-10,2014,February
587,Delivery Unit,Commercial,Other Services,10010087,CONWAY AECOM LTD,11711.05,2014-02-10,2014,February
588,Delivery Unit,Education,Other Services,10009405,PROSPECTS SERVICES LTD,19084.84,2014-02-10,2014,February
589,Delivery Unit,Family Services,Books-CDs-Audio-Video,10010184,ASKEWS & HOLTS LIBRARY SERVICES LTD,783.4,2014-02-10,2014,February
590,Delivery Unit,Family Services,Other Agencies - Third Party Payments,10009374,ADVANTAGE HEALTHCARE GROUP LTD,376.2,2014-02-10,2014,February
591,Delivery Unit,Family Services,Other Agencies - Third Party Payments,10009498,ADVANTAGE HEALTHCARE GROUP LTD,792.93,2014-02-10,2014,February
592,Delivery Unit,Family Services,Other Services,10009041,REDACTED - PERSONAL DATA,486.0,2014-02-10,2014,February
593,Delivery Unit,Family Services,Professional Services,10006831,ECOLAB SERVICES LTD,618.25,2014-02-10,2014,February
594,Delivery Unit,Family Services,Professional Services,10008957,ECOLAB SERVICES LTD,679.46,2014-02-10,2014,February
595,Delivery Unit,Family Services,Travel Expenses-Escorts,10010153,WRIXON CARE SERVICES,2007.45,2014-02-10,2014,February
596,Delivery Unit,Re,Grant Payments,20011998,DP BUILDERS DISABLED ADAPTATIONS,4926.0,2014-02-10,2014,February
597,Delivery Unit,Street Scene,Equipment and Materials Purchase,10008974,B O C LTD,1626.0,2014-02-10,2014,February
598,Delivery Unit,Street Scene,Equipment and Materials Purchase,10009419,BURWELL MOTOR GROUP LTD,1309.59,2014-02-10,2014,February
599,Delivery Unit,Street Scene,Equipment and Materials Purchase,10010109,DENNIS EAGLE,711.27,2014-02-10,2014,February
600,Delivery Unit,Street Scene,Equipment and Materials Purchase,10010111,DENNIS EAGLE,304.29,2014-02-10,2014,February
601,Delivery Unit,Street Scene,Equipment and Materials Purchase,10010112,DENNIS EAGLE,596.97,2014-02-10,2014,February
602,Delivery Unit,Street Scene,Equipment and Materials Purchase,10010113,DENNIS EAGLE,711.27,2014-02-10,2014,February
603,Delivery Unit,Street Scene,Equipment and Materials Purchase,10010097,RM COUNTRYSIDE SERVICES LTD,1093.0,2014-02-10,2014,February
604,Delivery Unit,Street Scene,Equipment and Materials Purchase,10010122,SHEENS CLEANING SERVICES,4730.0,2014-02-10,2014,February
605,Delivery Unit,Street Scene,Equipment and Materials Purchase,20010801,SSI SCHAEFER LTD,-7166.67,2014-02-10,2014,February
606,Delivery Unit,Street Scene,Operating Leases - Transport,10010117,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
607,Delivery Unit,Street Scene,Operating Leases - Transport,10010118,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
608,Delivery Unit,Street Scene,Operating Leases - Transport,10010120,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
609,Delivery Unit,Street Scene,Operating Leases - Transport,10010126,DAWSON RENTALS BUS & COACH LTD,338.93,2014-02-10,2014,February
610,Delivery Unit,Street Scene,Operating Leases - Transport,10010127,DAWSON RENTALS BUS & COACH LTD,338.93,2014-02-10,2014,February
611,Delivery Unit,Street Scene,Operating Leases - Transport,10010130,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
612,Delivery Unit,Street Scene,Operating Leases - Transport,10010132,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
613,Delivery Unit,Street Scene,Operating Leases - Transport,10010134,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
614,Delivery Unit,Street Scene,Operating Leases - Transport,10010136,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
615,Delivery Unit,Street Scene,Operating Leases - Transport,10010137,DAWSON RENTALS BUS & COACH LTD,1281.85,2014-02-10,2014,February
616,Delivery Unit,Street Scene,Operating Leases - Transport,10010138,DAWSON RENTALS BUS & COACH LTD,499.71,2014-02-10,2014,February
617,Delivery Unit,Street Scene,Operating Leases - Transport,10010140,DAWSON RENTALS BUS & COACH LTD,499.71,2014-02-10,2014,February
618,Delivery Unit,Street Scene,Operating Leases - Transport,10010141,DAWSON RENTALS BUS & COACH LTD,499.71,2014-02-10,2014,February
619,Delivery Unit,Street Scene,Operating Leases - Transport,10010143,DAWSON RENTALS BUS & COACH LTD,499.71,2014-02-10,2014,February
620,Delivery Unit,Street Scene,Operating Leases - Transport,10010144,DAWSON RENTALS BUS & COACH LTD,499.71,2014-02-10,2014,February
621,Delivery Unit,Street Scene,Operating Leases - Transport,10010103,HEVERIN HAULAGE LTD,4290.0,2014-02-10,2014,February
622,Delivery Unit,Street Scene,Rubbish Collection,10007435,SSI SCHAEFER LTD,11338.0,2014-02-10,2014,February
623,Delivery Unit,Street Scene,Rubbish Collection,10008971,SSI SCHAEFER LTD,1089.0,2014-02-10,2014,February
624,Support Service,CSG Managed Budget,Cleaning and domestic material,10009254,LOVETT & SHINN,1439.45,2014-02-10,2014,February
625,Support Service,CSG Managed Budget,Electricity,10009695,KENT COUNTY COUNCIL (KCS),75234.28,2014-02-10,2014,February
626,Support Service,CSG Managed Budget,Water Services,10008131,AFFINITY WATER LIMITED,546.81,2014-02-10,2014,February
627,,,Various,30039738,ALLIED HEALTHCARE LTD,4219.53,2014-02-10,2014,February
628,,,Various,30039739,ALLIED HEALTHCARE LTD,2946.87,2014-02-10,2014,February
629,,,Various,30039740,ALLIED HEALTHCARE LTD,3371.83,2014-02-10,2014,February
630,,,Various,30039741,ALLIED HEALTHCARE LTD,4232.89,2014-02-10,2014,February
631,,,Various,30039742,ALLIED HEALTHCARE LTD,3662.21,2014-02-10,2014,February
632,,,Various,30039743,ALLIED HEALTHCARE LTD,4101.46,2014-02-10,2014,February
633,,,Various,10002744,ECOLAB SERVICES LTD,381.25,2014-02-10,2014,February
634,,,Various,10009356,ECOLAB SERVICES LTD,381.25,2014-02-10,2014,February
635,,,Various,30039748,HARTWIG CARE LIMITED,786.36,2014-02-10,2014,February
636,,,Various,30039753,HARTWIG CARE LIMITED,536.64,2014-02-10,2014,February
637,,,Various,30039758,HARTWIG CARE LIMITED,371.87,2014-02-10,2014,February
638,,,Various,10009414,REDACTED - PERSONAL DATA,3445.0,2014-02-10,2014,February
639,,,Various,30039766,REDACTED - PERSONAL DATA,4863.11,2014-02-10,2014,February
640,,,Various,30034143,SODEXO HEALTHCARE SERVICES LTD,8261.1,2014-02-10,2014,February
641,,,Various,30037155,SODEXO HEALTHCARE SERVICES LTD,8166.8,2014-02-10,2014,February
642,,,Various,30039769,THE EXTRA MILE CARE CO LTD,1296.14,2014-02-10,2014,February
643,,,Various,30038772,TWO RIVERS,9573.2,2014-02-10,2014,February
644,,,Various,10009378,WARDELL ASSOCIATES LIMITED,450.0,2014-02-10,2014,February
645,,,Various,30039862,WILLOW CARE HOMES,12609.96,2014-02-10,2014,February
646,Central Expenses,Central Expenses,Insurance Claims,20012062,CCL VEHICLE RENTALS LTD,381.93,2014-03-10,2014,March
647,Commissioning Group,Deputy Chief Operating Officer,Consultants Fees,10005704,OFFICE FOR PUBLIC MANAGEMENT,8806.25,2014-03-10,2014,March
648,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009793,FAMILY FUND TRADING LTD,1825.0,2014-03-10,2014,March
649,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009803,FAMILY FUND TRADING LTD,2075.0,2014-03-10,2014,March
650,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009804,FAMILY FUND TRADING LTD,258.5,2014-03-10,2014,March
651,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009806,FAMILY FUND TRADING LTD,5983.33,2014-03-10,2014,March
652,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009808,FAMILY FUND TRADING LTD,1683.34,2014-03-10,2014,March
653,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009811,FAMILY FUND TRADING LTD,258.5,2014-03-10,2014,March
654,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009812,FAMILY FUND TRADING LTD,4180.83,2014-03-10,2014,March
655,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009814,FAMILY FUND TRADING LTD,4244.97,2014-03-10,2014,March
656,Commissioning Group,Deputy Chief Operating Officer,Other Agencies - Third Party Payments,10009815,FAMILY FUND TRADING LTD,6473.34,2014-03-10,2014,March
657,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039998,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
658,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039999,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
659,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040000,ABBEY RAVENSCROFT PARK NURSING HOME,2244.12,2014-03-10,2014,March
660,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040001,ABBEY RAVENSCROFT PARK NURSING HOME,-531.21,2014-03-10,2014,March
661,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040002,ABBEY RAVENSCROFT PARK NURSING HOME,2571.43,2014-03-10,2014,March
662,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040003,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
663,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040004,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
664,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040005,ABBEY RAVENSCROFT PARK NURSING HOME,2487.9,2014-03-10,2014,March
665,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040006,ABBEY RAVENSCROFT PARK NURSING HOME,-1123.59,2014-03-10,2014,March
666,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040007,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
667,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040008,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
668,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040009,ABBEY RAVENSCROFT PARK NURSING HOME,2785.71,2014-03-10,2014,March
669,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040010,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
670,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040011,ABBEY RAVENSCROFT PARK NURSING HOME,2244.13,2014-03-10,2014,March
671,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040012,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
672,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040013,ABBEY RAVENSCROFT PARK NURSING HOME,3102.43,2014-03-10,2014,March
673,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040014,ABBEY RAVENSCROFT PARK NURSING HOME,2487.77,2014-03-10,2014,March
674,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039971,ALL ABOUT CARE,1958.01,2014-03-10,2014,March
675,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039972,ALL ABOUT CARE,-342.21,2014-03-10,2014,March
676,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040022,ANCASTER COURT NURSING HOME,2487.77,2014-03-10,2014,March
677,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040023,ANCASTER COURT NURSING HOME,2487.77,2014-03-10,2014,March
678,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039961,ASHGALE HOUSE,4577.4,2014-03-10,2014,March
679,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039962,ASHGALE HOUSE,-388.8,2014-03-10,2014,March
680,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039995,BAYTREE COMMUNITY CARE (LONDON) LTD,-531.21,2014-03-10,2014,March
681,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039993,BENSLOW MANAGEMENT COMPANY LIMITED,2340.04,2014-03-10,2014,March
682,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30036395,BUPA CARE HOMES,-748.04,2014-03-10,2014,March
683,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30037915,BUPA CARE HOMES,523.63,2014-03-10,2014,March
684,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040027,BUPA CARE HOMES,2144.91,2014-03-10,2014,March
685,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040028,BUPA CARE HOMES,2340.04,2014-03-10,2014,March
686,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040048,BUPA CARE HOMES,2244.13,2014-03-10,2014,March
687,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040049,BUPA CARE HOMES,2244.13,2014-03-10,2014,March
688,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040024,BUPA NURSING HOMES LTD - ARKLEY,2001.92,2014-03-10,2014,March
689,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040039,CARETECH COMMUNITY SERVICES LTD,4478.57,2014-03-10,2014,March
690,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039973,COMPLETE CARE SERVICES LTD,5251.8,2014-03-10,2014,March
691,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040038,CONNIFERS CARE LTD,8270.74,2014-03-10,2014,March
692,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039989,GLOUCESTERSHIRE GROUP HOMES,4054.03,2014-03-10,2014,March
693,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039990,GLOUCESTERSHIRE GROUP HOMES,-788.14,2014-03-10,2014,March
694,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039983,GREENFIELDS RESIDENTIAL HOME,2144.91,2014-03-10,2014,March
695,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039984,GREENFIELDS RESIDENTIAL HOME,-824.14,2014-03-10,2014,March
696,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039965,H.C.S. (ENFIELD) LTD,5101.71,2014-03-10,2014,March
697,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039966,H.C.S. (ENFIELD) LTD,-342.21,2014-03-10,2014,March
698,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040026,HALLMARK CARE (KINGS LYNN) LTD,2797.07,2014-03-10,2014,March
699,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039980,HARTWIG CARE LIMITED,956.4,2014-03-10,2014,March
700,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30040050,HUSKARDS NEW CARE LTD,2145.0,2014-03-10,2014,March
701,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039949,INDIVIDUALISED CARE LIMITED,500.0,2014-03-10,2014,March
702,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039950,INDIVIDUALISED CARE LIMITED,300.0,2014-03-10,2014,March
703,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039951,INDIVIDUALISED CARE LIMITED,356.0,2014-03-10,2014,March
704,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039952,INDIVIDUALISED CARE LIMITED,277.5,2014-03-10,2014,March
705,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039954,INDIVIDUALISED CARE LIMITED,500.0,2014-03-10,2014,March
706,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039955,INDIVIDUALISED CARE LIMITED,602.0,2014-03-10,2014,March
707,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039996,IVER HOUSE LTD,3802.81,2014-03-10,2014,March
708,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039997,IVER HOUSE LTD,-388.71,2014-03-10,2014,March
